feature,weight
gene_0,2.2384802e-05
gene_1,0.032824166
gene_2,0.019618614
gene_3,0.023373116
gene_4,0.061679814
gene_5,4.805839e-06
gene_6,0.0014091699
gene_7,0.008664373
gene_8,5.0123117e-07
gene_9,1.6326353e-06
gene_10,1.1071261e-06
gene_11,8.2962935e-05
gene_12,2.3027555e-06
gene_13,0.005946795
gene_14,0.005929952
gene_15,4.9838595e-06
gene_16,4.7589842e-06
gene_17,0.0035387438
gene_18,0.19526847
gene_19,0.002871147
gene_20,3.8705402e-06
gene_21,2.2203592e-05
gene_22,0.00049382966
gene_23,1.7806487e-06
gene_24,8.8336765e-07
gene_25,1.061177e-06
gene_26,0.0150837945
gene_27,0.005444142
gene_28,2.3698049e-06
gene_29,0.025446367
gene_30,0.6538361
gene_31,3.512514e-07
gene_32,3.8393668e-05
gene_33,3.1253098e-06
gene_34,0.0028620444
gene_35,0.026302027
gene_36,2.259308e-06
gene_37,0.020123398
gene_38,8.1232756e-05
gene_39,0.10913635
gene_40,0.018714758
gene_41,3.5798525e-06
gene_42,2.9955386e-06
gene_43,2.5065583e-07
gene_44,0.035873536
gene_45,9.8725985e-05
gene_46,0.00910815
gene_47,0.00012951695
gene_48,3.3195574e-05
gene_49,0.009556219
gene_50,2.8623488e-05
gene_51,6.788299e-05
gene_52,7.169952e-06
gene_53,1.9558486e-06
gene_54,3.3658116e-06
gene_55,0.0065907324
gene_56,9.997004e-05
gene_57,1.1895945e-05
gene_58,0.0011832829
gene_59,0.016069874
gene_60,0.042332068
gene_61,2.8564955e-07
gene_62,2.4604795e-05
gene_63,1.8439245e-05
gene_64,1.533193e-05
gene_65,0.008468954
gene_66,0.05079775
gene_67,0.059683274
gene_68,3.178877e-06
gene_69,0.028581474
gene_70,0.016994832
gene_71,0.0039520734
gene_72,0.029736944
gene_73,0.007546053
gene_74,1.7154834e-05
gene_75,0.08624442
gene_76,0.001499025
gene_77,8.011419e-05
gene_78,7.877543e-07
gene_79,6.768343e-05
gene_80,0.0049196794
gene_81,0.058660798
gene_82,4.8688853e-05
gene_83,0.38829505
gene_84,0.07449142
gene_85,4.2351335e-06
gene_86,3.1250158e-05
gene_87,0.0033835701
gene_88,0.043443587
gene_89,0.040479764
gene_90,1.6030303e-06
gene_91,0.054691054
gene_92,0.005526443
gene_93,3.059262e-05
gene_94,0.09722102
gene_95,0.00063435134
gene_96,2.150151e-05
gene_97,7.9617574e-05
gene_98,0.014758943
gene_99,0.0032950663
gene_100,0.009334161
gene_101,0.0065101925
gene_102,0.002512061
gene_103,1.0663798e-06
gene_104,8.124743e-06
gene_105,2.5344443e-06
gene_106,0.0037524225
gene_107,0.0028474354
gene_108,4.1445114e-06
gene_109,0.0040883077
gene_110,0.00031277904
gene_111,0.006498768
gene_112,9.901805e-08
gene_113,8.375717e-06
gene_114,0.0036034943
gene_115,2.2636632e-06
gene_116,0.00010213034
gene_117,6.3521884e-07
gene_118,0.017516695
gene_119,0.013940083
gene_120,2.9188686e-06
gene_121,0.00012713557
gene_122,7.9662466e-05
gene_123,0.009423286
gene_124,0.030765984
gene_125,2.8473642e-05
gene_126,1.3898829e-05
gene_127,9.444508e-05
gene_128,0.006300149
gene_129,2.0620928e-05
gene_130,5.347437e-06
gene_131,7.711529e-05
gene_132,7.34086e-06
gene_133,0.19477706
gene_134,0.06372536
gene_135,3.8099708e-06
gene_136,4.9459004e-07
gene_137,0.0071254307
gene_138,4.750587e-05
gene_139,3.2784437e-06
gene_140,0.0037533743
gene_141,0.004326966
gene_142,0.18052624
gene_143,0.00013818913
gene_144,2.3702432e-07
gene_145,8.182034e-05
gene_146,3.06414e-06
gene_147,0.007937651
gene_148,0.32932836
gene_149,8.544089e-06
gene_150,1.7433198e-05
gene_151,0.005225461
gene_152,7.3972024e-07
gene_153,0.022941047
gene_154,0.00012828539
gene_155,3.2938437e-06
gene_156,0.0001218855
gene_157,4.1581325e-07
gene_158,0.019135837
gene_159,0.11489332
gene_160,1.4345378e-06
gene_161,4.7540784e-06
gene_162,0.05399306
gene_163,0.015345732
gene_164,4.0520945e-07
gene_165,0.007537666
gene_166,0.008861171
gene_167,6.244889e-05
gene_168,2.5890026e-06
gene_169,0.0008166696
gene_170,8.897996e-07
gene_171,0.00016098222
gene_172,0.013469745
gene_173,0.002552122
gene_174,2.8160296e-06
gene_175,3.042821e-06
gene_176,0.0019864847
gene_177,0.010101517
gene_178,0.0025673062
gene_179,2.0966709e-05
gene_180,0.053962015
gene_181,3.5551046e-05
gene_182,0.00055124454
gene_183,0.012327252
gene_184,0.060913093
gene_185,2.288208e-06
gene_186,0.00069913553
gene_187,3.3211712e-05
gene_188,0.005422041
gene_189,6.584969e-08
gene_190,6.397263e-07
gene_191,0.0009920915
gene_192,1.6197032e-06
gene_193,0.00014834061
gene_194,0.024724463
gene_195,3.9885632e-05
gene_196,0.0025007552
gene_197,3.4607563e-06
gene_198,0.011113064
gene_199,0.046364427
gene_200,4.9731163e-05
gene_201,2.8783506e-07
gene_202,0.009833323
gene_203,0.11186409
gene_204,0.0029720885
gene_205,5.5460623e-07
gene_206,0.00015573936
gene_207,0.0034435827
gene_208,0.02153501
gene_209,2.831771e-07
gene_210,0.00013766783
gene_211,0.00016655907
gene_212,0.00027094726
gene_213,0.007044573
gene_214,0.055834644
gene_215,0.0053845174
gene_216,2.5337067e-05
gene_217,3.5108947e-05
gene_218,0.08309343
gene_219,4.321727e-06
