feature,weight
MSSubClass,4.7459616e-06
LotFrontage,1.8166815e-05
LotArea,0.00027184494
OverallQual,0.16383535
OverallCond,0.10362791
YearBuilt,0.11395412
YearRemodAdd,7.972343e-05
MasVnrArea,4.8438196e-06
BsmtFinSF1,3.064386e-06
BsmtFinSF2,1.4259556e-05
BsmtUnfSF,3.864067e-05
TotalBsmtSF,1.4530873e-05
log_1stFlrSF,0.08124234
2ndFlrSF,3.5716836e-05
LowQualFinSF,2.7072565e-06
log_GrLivArea,0.1919482
BsmtFullBath,0.04732197
BsmtHalfBath,2.5593847e-05
FullBath,0.0001382997
HalfBath,4.2621756e-05
BedroomAbvGr,0.00012701104
KitchenAbvGr,0.00014210625
TotRmsAbvGrd,0.0002595822
Fireplaces,9.9362405e-06
GarageYrBlt,0.00017058963
GarageCars,0.07151117
GarageArea,0.00015242168
WoodDeckSF,2.4719855e-05
OpenPorchSF,4.5362896e-05
EnclosedPorch,9.832256e-06
3SsnPorch,3.3290675e-05
ScreenPorch,3.8975937e-05
PoolArea,3.3358643e-05
MoSold,0.00016940628
YrSold,5.7905465e-05
HasLotFrontage,0.00029169704
HasBsmt,0.00023769784
HasPool,9.0723915e-08
HasGarage,9.0989975e-05
MSZoning_C (all),0.0001245657
MSZoning_FV,0.00039982994
MSZoning_I (all),1.503904e-07
MSZoning_RH,2.9728755e-05
MSZoning_RL,0.026909128
MSZoning_RM,4.0865867e-05
Street_Grvl,2.1285941e-05
Street_Pave,0.00072549755
Alley_Grvl,3.844078e-05
Alley_NotApplicable,0.0004921543
Alley_Pave,0.000248641
LotShape_IR1,6.818984e-05
LotShape_IR2,3.6029203e-05
LotShape_IR3,1.1720898e-05
LotShape_Reg,0.0006301539
LandContour_Bnk,0.00018430178
LandContour_HLS,2.042329e-05
LandContour_Low,0.00011610761
LandContour_Lvl,0.00025998277
Utilities_AllPub,0.00040203036
Utilities_NoSeWa,2.2227956e-05
Utilities_NoSewr,3.408035e-05
LotConfig_Corner,5.902746e-05
LotConfig_CulDSac,4.641537e-05
LotConfig_FR2,4.2914144e-06
LotConfig_FR3,1.9744592e-05
LotConfig_Inside,2.7181926e-05
LandSlope_Gtl,0.00041501893
LandSlope_Mod,3.572894e-05
LandSlope_Sev,2.8141738e-05
Neighborhood_Blmngtn,3.6333564e-05
Neighborhood_Blueste,9.564152e-06
Neighborhood_BrDale,8.984676e-06
Neighborhood_BrkSide,4.3150074e-05
Neighborhood_ClearCr,2.2406626e-05
Neighborhood_CollgCr,0.0002643311
Neighborhood_Crawfor,0.00010181058
Neighborhood_Edwards,5.6881763e-06
Neighborhood_Gilbert,7.700804e-06
Neighborhood_Greens,3.8505448e-05
Neighborhood_GrnHill,3.137008e-05
Neighborhood_IDOTRR,1.10463225e-05
Neighborhood_Landmrk,1.3093522e-06
Neighborhood_MeadowV,2.8677883e-05
Neighborhood_Mitchel,2.0915315e-05
Neighborhood_NAmes,7.004729e-05
Neighborhood_NPkVill,3.5924342e-05
Neighborhood_NWAmes,8.7944514e-05
Neighborhood_NoRidge,3.076549e-05
Neighborhood_NridgHt,2.2688491e-05
Neighborhood_OldTown,1.8924547e-06
Neighborhood_SWISU,1.0656222e-05
Neighborhood_Sawyer,2.7253478e-05
Neighborhood_SawyerW,3.0852818e-05
Neighborhood_Somerst,0.00012094309
Neighborhood_StoneBr,1.4080575e-05
Neighborhood_Timber,3.1314758e-05
Neighborhood_Veenker,4.780088e-05
Condition1_Artery,2.7294354e-05
Condition1_Feedr,2.3197434e-05
Condition1_Norm,0.0007880619
Condition1_PosA,2.430474e-05
Condition1_PosN,2.2944881e-05
Condition1_RRAe,4.322612e-05
Condition1_RRAn,1.4378904e-05
Condition1_RRNe,1.4552257e-05
Condition1_RRNn,6.701888e-06
Condition2_Artery,4.265098e-05
Condition2_Feedr,3.111392e-05
Condition2_Norm,0.0002780264
Condition2_PosA,4.3714477e-05
Condition2_PosN,2.4385048e-05
Condition2_RRAe,3.3149518e-05
Condition2_RRAn,3.9371134e-05
Condition2_RRNn,3.3321063e-05
BldgType_1Fam,0.03632827
BldgType_2fmCon,3.0324409e-05
BldgType_Duplex,1.021436e-05
BldgType_Twnhs,2.363318e-05
BldgType_TwnhsE,0.00012215668
HouseStyle_1.5Fin,4.064592e-05
HouseStyle_1.5Unf,3.737641e-05
HouseStyle_1Story,0.0002541902
HouseStyle_2.5Fin,3.0330757e-05
HouseStyle_2.5Unf,2.5349664e-05
HouseStyle_2Story,9.038125e-06
HouseStyle_SFoyer,2.762808e-05
HouseStyle_SLvl,3.0895895e-05
RoofStyle_Flat,4.1380386e-05
RoofStyle_Gable,6.5166416e-05
RoofStyle_Gambrel,3.5318597e-05
RoofStyle_Hip,0.0002586255
RoofStyle_Mansard,4.483536e-05
RoofStyle_Shed,1.2893142e-06
RoofMatl_CompShg,0.00020548303
RoofMatl_Metal,1.9208765e-05
RoofMatl_Roll,1.8422554e-05
RoofMatl_Tar&Grv,2.3540433e-05
RoofMatl_WdShake,6.241142e-06
RoofMatl_WdShngl,2.4983676e-05
Exterior1st_AsbShng,9.784293e-06
Exterior1st_AsphShn,2.4378136e-05
Exterior1st_BrkComm,1.7358798e-05
Exterior1st_BrkFace,4.909777e-05
Exterior1st_CBlock,3.2662465e-06
Exterior1st_CemntBd,4.412695e-05
Exterior1st_HdBoard,4.8156217e-05
Exterior1st_ImStucc,8.007664e-06
Exterior1st_MetalSd,0.00020557208
Exterior1st_Plywood,0.00010691458
Exterior1st_PreCast,3.6257043e-06
Exterior1st_Stone,3.5221667e-05
Exterior1st_Stucco,1.4811463e-05
Exterior1st_VinylSd,4.9563998e-05
Exterior1st_Wd Sdng,3.1330852e-05
Exterior1st_WdShing,2.761624e-05
Exterior2nd_AsbShng,2.5235033e-05
Exterior2nd_AsphShn,1.2203043e-05
Exterior2nd_Brk Cmn,3.181877e-05
Exterior2nd_BrkFace,1.3182787e-05
Exterior2nd_CBlock,2.146068e-05
Exterior2nd_CmentBd,2.582321e-05
Exterior2nd_HdBoard,0.00012848518
Exterior2nd_ImStucc,1.5455382e-05
Exterior2nd_MetalSd,6.0029924e-06
Exterior2nd_Other,4.2068496e-06
Exterior2nd_Plywood,8.2770566e-05
Exterior2nd_PreCast,2.735481e-05
Exterior2nd_Stone,5.581027e-06
Exterior2nd_Stucco,3.410514e-05
Exterior2nd_VinylSd,5.533133e-05
Exterior2nd_Wd Sdng,0.00024997795
Exterior2nd_Wd Shng,4.8879912e-05
MasVnrType_BrkCmn,1.9588817e-05
MasVnrType_BrkFace,0.00027252364
MasVnrType_CBlock,7.4925847e-06
MasVnrType_None,5.3366053e-05
MasVnrType_NotApplicable,2.179051e-06
MasVnrType_Stone,0.00012643907
ExterQual_Ex,5.6765493e-06
ExterQual_Fa,2.7327897e-05
ExterQual_Gd,0.0013518481
ExterQual_TA,0.00019179603
