feature,weight
MSSubClass,0.0994678
LotFrontage,0.11522723
LotArea,0.015665347
OverallQual,0.33048615
OverallCond,0.21163568
YearBuilt,0.21360275
YearRemodAdd,0.14478877
MasVnrArea,0.07403475
BsmtFinSF1,0.001051855
BsmtFinSF2,0.039982527
BsmtUnfSF,0.11949856
TotalBsmtSF,0.1521257
log_1stFlrSF,0.059206173
2ndFlrSF,0.08611353
LowQualFinSF,0.049809422
log_GrLivArea,0.46434113
BsmtFullBath,0.13772994
BsmtHalfBath,0.10851243
FullBath,7.3209185e-06
HalfBath,0.1227665
BedroomAbvGr,0.07332804
KitchenAbvGr,0.036047112
TotRmsAbvGrd,0.08682133
Fireplaces,0.039988335
GarageYrBlt,0.09675364
GarageCars,0.22803576
GarageArea,0.13106938
WoodDeckSF,0.0907296
OpenPorchSF,0.14530806
EnclosedPorch,0.033421233
3SsnPorch,0.018863035
ScreenPorch,0.07142663
PoolArea,0.0630768
MoSold,0.030684147
YrSold,0.02817822
HasLotFrontage,0.078202926
HasBsmt,0.18640897
HasPool,0.071515895
HasGarage,0.17839004
MSZoning_C (all),0.08682927
MSZoning_FV,0.0011411677
MSZoning_I (all),1.2993854e-07
MSZoning_RH,0.1002284
MSZoning_RL,0.18205823
MSZoning_RM,0.004784382
Street_Grvl,0.121661246
Street_Pave,0.18922956
Alley_Grvl,0.074641645
Alley_NotApplicable,0.09917522
Alley_Pave,0.06333942
LotShape_IR1,0.00095180655
LotShape_IR2,0.06443291
LotShape_IR3,0.062566996
LotShape_Reg,0.099538885
LandContour_Bnk,0.039192133
LandContour_HLS,0.08869744
LandContour_Low,0.10336467
LandContour_Lvl,0.13428122
Utilities_AllPub,0.1049789
Utilities_NoSeWa,0.09814416
Utilities_NoSewr,2.2379567e-07
LotConfig_Corner,0.020120902
LotConfig_CulDSac,0.11286756
LotConfig_FR2,0.03305284
LotConfig_FR3,0.11002222
LotConfig_Inside,0.056978356
LandSlope_Gtl,0.0004790387
LandSlope_Mod,0.048335478
LandSlope_Sev,0.095150076
Neighborhood_Blmngtn,0.10132986
Neighborhood_Blueste,0.07127667
Neighborhood_BrDale,0.050755687
Neighborhood_BrkSide,0.116681054
Neighborhood_ClearCr,0.12351762
Neighborhood_CollgCr,0.044104308
Neighborhood_Crawfor,0.18436147
Neighborhood_Edwards,0.055547804
Neighborhood_Gilbert,0.05728934
Neighborhood_Greens,0.08348948
Neighborhood_GrnHill,0.060390692
Neighborhood_IDOTRR,0.09770227
Neighborhood_Landmrk,2.8887948e-07
Neighborhood_MeadowV,0.11171112
Neighborhood_Mitchel,0.08223574
Neighborhood_NAmes,0.072397575
Neighborhood_NPkVill,0.040391095
Neighborhood_NWAmes,0.003824477
Neighborhood_NoRidge,0.09548015
Neighborhood_NridgHt,0.11457853
Neighborhood_OldTown,0.10090158
Neighborhood_SWISU,0.053198587
Neighborhood_Sawyer,0.07306539
Neighborhood_SawyerW,0.043677296
Neighborhood_Somerst,0.052481875
Neighborhood_StoneBr,0.09206767
Neighborhood_Timber,0.06215836
Neighborhood_Veenker,0.056525074
Condition1_Artery,0.035038624
Condition1_Feedr,0.09147634
Condition1_Norm,0.11770123
Condition1_PosA,0.0042185737
Condition1_PosN,0.04322575
Condition1_RRAe,0.038600523
Condition1_RRAn,0.0544503
Condition1_RRNe,0.058223408
Condition1_RRNn,0.046107516
Condition2_Artery,0.10341301
Condition2_Feedr,0.10751703
Condition2_Norm,0.014305209
Condition2_PosA,0.072906844
Condition2_PosN,0.04107658
Condition2_RRAe,0.12491613
Condition2_RRAn,0.06669989
Condition2_RRNn,4.860414e-07
BldgType_1Fam,0.13397887
BldgType_2fmCon,0.1337824
BldgType_Duplex,0.0014098985
BldgType_Twnhs,0.011617525
BldgType_TwnhsE,0.022093715
HouseStyle_1.5Fin,0.018011473
HouseStyle_1.5Unf,0.053042833
HouseStyle_1Story,0.06822808
HouseStyle_2.5Fin,0.064075805
HouseStyle_2.5Unf,0.026267828
HouseStyle_2Story,0.13530067
HouseStyle_SFoyer,0.014132383
HouseStyle_SLvl,0.032675922
RoofStyle_Flat,0.09066215
RoofStyle_Gable,0.09679331
RoofStyle_Gambrel,0.034902688
RoofStyle_Hip,0.09929191
RoofStyle_Mansard,0.026216695
RoofStyle_Shed,0.032151077
RoofMatl_CompShg,0.15201949
RoofMatl_Metal,0.0009718905
RoofMatl_Roll,0.05786811
RoofMatl_Tar&Grv,0.06317522
RoofMatl_WdShake,0.01170657
RoofMatl_WdShngl,0.089952
Exterior1st_AsbShng,0.11157135
Exterior1st_AsphShn,0.118797116
Exterior1st_BrkComm,0.048931375
Exterior1st_BrkFace,0.14480412
Exterior1st_CBlock,0.0574084
Exterior1st_CemntBd,0.030803617
Exterior1st_HdBoard,0.023642804
Exterior1st_ImStucc,0.11199888
Exterior1st_MetalSd,0.10891664
Exterior1st_Plywood,0.029124016
Exterior1st_PreCast,0.008183405
Exterior1st_Stone,0.054828174
Exterior1st_Stucco,0.0133499745
Exterior1st_VinylSd,0.07368962
Exterior1st_Wd Sdng,0.06253961
Exterior1st_WdShing,0.013177864
Exterior2nd_AsbShng,0.10587969
Exterior2nd_AsphShn,0.03944712
Exterior2nd_Brk Cmn,0.00841957
Exterior2nd_BrkFace,0.0008751623
Exterior2nd_CBlock,0.061818615
Exterior2nd_CmentBd,9.433204e-06
Exterior2nd_HdBoard,0.0043464084
Exterior2nd_ImStucc,0.034524303
Exterior2nd_MetalSd,4.204627e-05
Exterior2nd_Other,0.031381354
Exterior2nd_Plywood,0.0003245591
Exterior2nd_PreCast,0.10549978
Exterior2nd_Stone,0.012888449
Exterior2nd_Stucco,0.014930331
Exterior2nd_VinylSd,0.0013563435
Exterior2nd_Wd Sdng,0.088396296
Exterior2nd_Wd Shng,0.061036043
MasVnrType_BrkCmn,0.03365156
MasVnrType_BrkFace,0.007993912
MasVnrType_CBlock,0.017765908
MasVnrType_None,0.06537735
MasVnrType_NotApplicable,0.037984665
MasVnrType_Stone,0.027359473
ExterQual_Ex,0.14718437
ExterQual_Fa,2.9127685e-05
ExterQual_Gd,0.03485865
ExterQual_TA,0.0354942
ExterCond_Ex,0.0031241933
ExterCond_Fa,1.4374649e-05
ExterCond_Gd,0.018989163
ExterCond_Po,0.08653071
ExterCond_TA,0.112827204
Foundation_BrkTil,0.099843994
Foundation_CBlock,0.100621834
Foundation_PConc,0.04904661
Foundation_Slab,3.5425102e-05
Foundation_Stone,0.054631706
Foundation_Wood,0.020486733
BsmtQual_Ex,0.1217928
BsmtQual_Fa,0.0997868
BsmtQual_Gd,0.093189515
BsmtQual_NotApplicable,0.09919865
BsmtQual_Po,0.111275055
BsmtQual_TA,0.061198466
BsmtCond_Ex,0.0621918
BsmtCond_Fa,0.074940786
BsmtCond_Gd,0.06885239
BsmtCond_NotApplicable,4.464488e-05
BsmtCond_Po,0.072680935
BsmtCond_TA,0.018072816
BsmtExposure_Av,0.036171846
BsmtExposure_Gd,0.13721745
BsmtExposure_Mn,0.007937851
BsmtExposure_No,0.041364722
BsmtExposure_NotApplicable,0.117842115
BsmtFinType1_ALQ,0.10165396
BsmtFinType1_BLQ,0.005056374
BsmtFinType1_GLQ,0.098164834
BsmtFinType1_LwQ,0.023295231
BsmtFinType1_NotApplicable,0.06204699
BsmtFinType1_Rec,0.061787546
BsmtFinType1_Unf,0.11699275
BsmtFinType2_ALQ,0.014997162
