feature,weight
Foundation_Slab,0.104818285
Foundation_Stone,0.04469966
Foundation_Wood,0.036797844
BsmtQual_Ex,0.076361194
BsmtQual_Fa,0.027374895
BsmtQual_Gd,0.026449367
BsmtQual_NotApplicable,0.1222431
BsmtQual_Po,0.0041456516
BsmtQual_TA,0.124013714
BsmtCond_Ex,0.07630196
BsmtCond_Fa,0.08373399
BsmtCond_Gd,0.048069153
BsmtCond_NotApplicable,0.04966298
BsmtCond_Po,0.06034048
BsmtCond_TA,0.09251812
BsmtExposure_Av,0.13890325
BsmtExposure_Gd,0.115603745
BsmtExposure_Mn,0.0051428773
BsmtExposure_No,0.05614558
BsmtExposure_NotApplicable,0.03707615
BsmtFinType1_ALQ,0.05131608
BsmtFinType1_BLQ,0.0033559997
BsmtFinType1_GLQ,0.16933785
BsmtFinType1_LwQ,0.024705952
BsmtFinType1_NotApplicable,0.05530318
BsmtFinType1_Rec,0.055177372
BsmtFinType1_Unf,0.0559097
BsmtFinType2_ALQ,0.07260601
BsmtFinType2_BLQ,0.06304736
BsmtFinType2_GLQ,0.0028404817
BsmtFinType2_LwQ,0.04478918
BsmtFinType2_NotApplicable,0.10963289
BsmtFinType2_Rec,0.117513135
BsmtFinType2_Unf,0.12682617
Heating_Floor,0.062940754
Heating_GasA,0.09240797
Heating_GasW,0.10840655
Heating_Grav,0.10023137
Heating_OthW,0.068981
Heating_Wall,0.045800492
HeatingQC_Ex,0.042936396
HeatingQC_Fa,0.05210325
HeatingQC_Gd,0.032719627
HeatingQC_Po,0.13486323
HeatingQC_TA,0.069550484
CentralAir_N,0.056478035
CentralAir_Y,0.086705305
Electrical_FuseA,0.1284807
Electrical_FuseF,0.032433286
Electrical_FuseP,0.008914646
Electrical_Mix,0.04796279
Electrical_NotApplicable,0.015379864
Electrical_SBrkr,0.1561118
KitchenQual_Ex,0.14225471
KitchenQual_Fa,0.11715178
KitchenQual_Gd,0.11898475
KitchenQual_Po,0.12571058
KitchenQual_TA,0.06558904
Functional_Maj1,0.06222735
Functional_Maj2,0.13101128
Functional_Min1,0.07813705
Functional_Min2,0.121154815
Functional_Mod,0.03790335
