feature,weight
gene_0,1.4874335e-05
gene_1,2.117176e-05
gene_2,9.109819e-05
gene_3,7.8285026e-05
gene_4,2.0030722e-05
gene_5,5.767357e-06
gene_6,1.3615863e-06
gene_7,0.00014459483
gene_8,4.1043168e-06
gene_9,4.715237e-06
gene_10,1.0800501e-05
gene_11,1.7995062e-06
gene_12,8.5388994e-05
gene_13,2.1798665e-05
gene_14,1.3537361e-05
gene_15,9.0703925e-06
gene_16,1.8241024e-05
gene_17,8.118064e-06
gene_18,4.410324e-05
gene_19,0.00024712874
gene_20,7.509692e-05
gene_21,7.096466e-05
gene_22,6.1723484e-05
gene_23,1.5269976e-05
gene_24,1.0809217e-05
gene_25,5.2035546e-05
gene_26,4.168017e-05
gene_27,3.351503e-05
gene_28,0.014583131
gene_29,6.1294166e-05
gene_30,0.27872384
gene_31,4.0368388e-05
gene_32,4.0419145e-06
gene_33,7.2592193e-06
gene_34,6.239588e-05
gene_35,0.0001593433
gene_36,1.4459398e-05
gene_37,1.4217843e-05
gene_38,5.358624e-05
gene_39,0.00032089485
gene_40,1.1343169e-05
gene_41,1.19728575e-05
gene_42,1.0409203e-05
gene_43,2.0430074e-05
gene_44,4.15958e-05
gene_45,3.1429754e-06
gene_46,3.931908e-05
gene_47,0.00010311949
gene_48,0.0004456517
gene_49,9.30397e-06
gene_50,3.8044134e-05
gene_51,0.00010239679
gene_52,2.385189e-05
gene_53,9.6115444e-05
gene_54,1.0100994e-05
gene_55,0.00023396246
gene_56,9.3563685e-06
gene_57,0.00013015077
gene_58,7.76994e-05
gene_59,3.7283233e-05
gene_60,0.0004730752
gene_61,8.712077e-06
gene_62,2.1752816e-05
gene_63,2.1857948e-05
gene_64,5.606423e-05
gene_65,4.5839013e-05
gene_66,5.7325866e-05
gene_67,6.307937e-06
gene_68,5.366109e-05
gene_69,2.2445762e-05
gene_70,2.1932461e-05
gene_71,5.9546415e-05
gene_72,6.2413084e-05
gene_73,3.0892716e-06
gene_74,1.7512031e-05
gene_75,4.5841152e-05
gene_76,2.4588073e-05
gene_77,1.889508e-06
gene_78,5.3676198e-05
gene_79,2.5662572e-05
gene_80,4.8681795e-05
gene_81,9.9506025e-05
gene_82,0.0028913869
gene_83,0.8036664
gene_84,0.0809856
gene_85,6.2695526e-06
gene_86,5.894007e-06
gene_87,0.00094233005
gene_88,0.039316215
gene_89,9.574915e-05
gene_90,3.813221e-05
gene_91,0.00013475423
gene_92,1.839747e-05
gene_93,5.980979e-05
gene_94,2.9490691e-05
gene_95,8.056264e-05
gene_96,0.00012529409
gene_97,0.00015516065
gene_98,2.8184213e-05
gene_99,8.4974585e-05
gene_100,0.0002542587
gene_101,0.016049411
gene_102,2.5858973e-05
gene_103,0.000113982154
gene_104,6.299689e-05
gene_105,9.1471986e-05
gene_106,1.2176315e-07
gene_107,7.0412443e-06
gene_108,1.7872093e-05
gene_109,6.8171525e-05
gene_110,7.335121e-05
