feature,weight
gene_285,0.046711653
gene_286,0.031874694
gene_287,0.009188618
gene_288,0.004608259
gene_289,0.025888553
gene_290,0.01745903
gene_291,0.065636404
gene_292,0.0040263543
gene_293,0.00910957
gene_294,0.020359844
gene_295,0.054745413
gene_296,0.011504235
gene_297,0.030450048
gene_298,0.07694331
gene_299,0.018528784
gene_300,0.0086228885
gene_301,0.0048768227
gene_302,0.031466655
gene_303,0.03704106
gene_304,0.022679502
gene_305,0.029797385
gene_306,0.027056655
gene_307,0.023157481
gene_308,0.020282682
gene_309,0.024730708
gene_310,0.018195963
gene_311,0.01247753
gene_312,0.012399954
gene_313,0.0028306486
gene_314,0.001816326
gene_315,0.03948927
gene_316,0.004162606
gene_317,0.03986877
gene_318,0.03783227
gene_319,0.0072998535
gene_320,0.00017195317
gene_321,0.0065453304
gene_322,0.33265433
gene_323,0.007749849
gene_324,0.028663862
gene_325,0.030689599
gene_326,0.016244331
gene_327,0.04241612
gene_328,0.016456833
gene_329,0.0053804284
gene_330,0.023567693
gene_331,0.012834025
gene_332,0.011959681
gene_333,0.0423103
gene_334,0.0073463987
gene_335,0.019944007
gene_336,0.0038440223
gene_337,0.020139642
gene_338,0.008611942
gene_339,0.008844207
gene_340,0.0013854597
gene_341,0.008076213
gene_342,0.014935898
gene_343,0.06271966
gene_344,0.011608356
gene_345,0.01142158
gene_346,0.010621621
gene_347,0.0034560845
gene_348,0.0033888721
gene_349,0.011228428
gene_350,0.008233501
gene_351,0.06334284
gene_352,0.21197452
gene_353,0.0060663614
gene_354,0.055757426
gene_355,0.016882412
gene_356,0.017946629
gene_357,0.29212108
gene_358,0.01369577
gene_359,0.024581688
gene_360,0.019985592
gene_361,0.02935678
gene_362,0.061772786
gene_363,0.002746178
gene_364,0.023916377
gene_365,0.0012054683
gene_366,0.052994553
gene_367,0.015540129
gene_368,0.06060501
gene_369,0.020096008
gene_370,0.022443177
gene_371,0.06262032
gene_372,0.016769087
gene_373,0.0047958787
gene_374,0.040733032
gene_375,0.05419671
gene_376,0.0145848505
gene_377,0.006545628
gene_378,0.022829385
gene_379,0.025234727
gene_380,0.06351957
gene_381,0.030910203
gene_382,0.006184921
gene_383,0.024512548
gene_384,0.000932716
gene_385,0.015858274
gene_386,0.0008821323
gene_387,0.00810959
gene_388,0.05428125
gene_389,0.011481459
gene_390,0.013433325
gene_391,0.017087305
gene_392,3.737671e-05
gene_393,0.05009763
gene_394,0.002823632
gene_395,0.002935257
gene_396,0.016037418
gene_397,0.017974656
gene_398,0.01880495
gene_399,0.0902345
gene_400,0.0377668
gene_401,0.0068518124
gene_402,0.005562139
gene_403,0.011843519
gene_404,0.0048117246
gene_405,0.0017227236
gene_406,0.037567344
gene_407,0.013971884
gene_408,0.043291666
gene_409,0.015062384
gene_410,0.001485059
gene_411,0.012596096
gene_412,0.031774163
gene_413,0.0053983373
gene_414,0.0064249556
gene_415,0.0024871046
gene_416,0.009441215
gene_417,0.01356922
gene_418,0.012371094
gene_419,0.010239584
gene_420,0.013025365
gene_421,0.026666155
gene_422,0.012332029
gene_423,0.042129338
gene_424,0.0045339987
gene_425,0.02263395
gene_426,0.0122309495
gene_427,0.0060863607
gene_428,0.0030005632
gene_429,0.06421881
gene_430,0.009052836
gene_431,0.01505434
gene_432,0.005142172
gene_433,0.010650546
gene_434,0.0050066365
gene_435,0.034162655
gene_436,0.01738424
gene_437,0.03573564
gene_438,0.026634797
gene_439,0.23403667
gene_440,0.5287181
gene_441,0.010077792
gene_442,0.026548047
gene_443,0.0027180046
gene_444,0.049644448
gene_445,0.0049009095
gene_446,0.035750456
gene_447,0.017086953
gene_448,0.024868887
gene_449,0.012856591
gene_450,0.76522416
gene_451,0.0038495434
gene_452,0.11284497
gene_453,0.023720788
gene_454,0.006530823
gene_455,0.0223633
gene_456,0.026116418
gene_457,0.004976094
gene_458,0.010628756
gene_459,0.061318908
gene_460,0.0128336325
gene_461,0.008267125
gene_462,0.00292884
gene_463,0.0073214076
gene_464,0.011937649
gene_465,0.009328301
gene_466,0.03763096
gene_467,0.014355536
gene_468,0.027135534
gene_469,0.0124808615
gene_470,0.0037071723
gene_471,0.0006121471
gene_472,0.027988678
gene_473,0.007793582
gene_474,0.025657041
gene_475,0.0014707575
gene_476,0.0019676464
gene_477,0.016900808
gene_478,0.0124047855
gene_479,0.0046456344
gene_480,0.016749064
gene_481,0.021111362
gene_482,0.061365306
gene_483,0.016498845
gene_484,0.00602221
gene_485,0.002661478
gene_486,0.0064672595
gene_487,0.17595908
gene_488,0.031775024
gene_489,0.019650161
gene_490,0.00714275
gene_491,0.020821035
gene_492,0.022447957
gene_493,0.0018935236
gene_494,0.07560401
gene_495,0.009171449
gene_496,0.031403057
gene_497,0.009067162
gene_498,0.059439942
gene_499,0.00091283565
gene_500,0.021138987
gene_501,0.008426381
gene_502,0.007071692
gene_503,0.022305034
gene_504,0.018361097
gene_505,0.027020417
gene_506,0.003236697
gene_507,0.018094199
gene_508,0.007434425
gene_509,0.025679655
gene_510,0.012798556
gene_511,0.017319096
gene_512,0.016539322
gene_513,0.0068555064
gene_514,0.016267037
gene_515,0.015859589
gene_516,0.03119678
gene_517,0.0060435873
gene_518,0.015841099
gene_519,0.0123111885
gene_520,0.0232482
gene_521,0.0036540097
gene_522,0.024642516
gene_523,0.017268497
gene_524,0.01746351
gene_525,0.012109905
gene_526,0.036287628
gene_527,0.0047546593
gene_528,0.0047059585
gene_529,0.019671734
gene_530,0.018665329
gene_531,0.016542569
gene_532,0.022063652
gene_533,0.012310153
gene_534,0.022297189
gene_535,0.020248882
gene_536,0.015804388
gene_537,0.020377673
gene_538,0.014677924
gene_539,0.37585506
gene_540,0.071659744
gene_541,0.033940054
gene_542,0.029151516
gene_543,0.010581688
gene_544,0.021202562
gene_545,1.9382502
gene_546,0.004627868
gene_547,0.009311397
gene_548,0.031478927
gene_549,0.017394183
gene_550,0.07897133
gene_551,0.01626772
gene_552,0.004155934
gene_553,0.0655843
gene_554,0.020007744
gene_555,0.038353264
gene_556,0.00076575374
gene_557,0.018259183
gene_558,0.009909239
gene_559,0.02010934
gene_560,0.0075317267
gene_561,0.021369975
gene_562,0.048139367
gene_563,0.013986424
gene_564,0.026967667
gene_565,0.02032887
gene_566,0.010138496
gene_567,0.022063322
gene_568,0.0023837234
gene_569,0.010740441
gene_570,0.017907107
gene_571,0.010752896
gene_572,0.004744206
gene_573,0.011779219
gene_574,0.006988762
gene_575,0.013347655
gene_576,0.02125525
gene_577,0.025784075
gene_578,0.021613382
gene_579,0.00014050696
gene_580,0.064859524
gene_581,0.089850836
gene_582,0.0005624881
gene_583,0.03651163
gene_584,0.0023602266
gene_585,0.013858304
gene_586,0.0019273359
gene_587,0.061175667
gene_588,0.005240508
gene_589,0.10732029
