feature,weight
MSSubClass,0.027427245
LotFrontage,0.0004716425
LotArea,0.16058397
OverallQual,0.31134772
OverallCond,0.21417473
YearBuilt,0.18498719
YearRemodAdd,0.070167966
MasVnrArea,0.020667166
BsmtFinSF1,0.16783522
BsmtFinSF2,0.0042548454
BsmtUnfSF,0.028777577
TotalBsmtSF,2.9214454e-05
log_1stFlrSF,0.30951405
2ndFlrSF,0.19034293
LowQualFinSF,2.7515957e-06
log_GrLivArea,0.17716062
BsmtFullBath,0.061418436
BsmtHalfBath,9.3135895e-06
FullBath,0.09485226
HalfBath,2.3116705e-05
BedroomAbvGr,4.489101e-05
KitchenAbvGr,5.5333563e-05
TotRmsAbvGrd,0.081335455
Fireplaces,0.08972901
GarageYrBlt,0.06353557
GarageCars,0.13961919
GarageArea,0.031888776
WoodDeckSF,0.025262453
OpenPorchSF,4.6551726e-05
EnclosedPorch,0.030755738
3SsnPorch,3.6755318e-06
ScreenPorch,3.9566658e-07
PoolArea,7.664432e-06
MoSold,0.0005055081
YrSold,2.2989801e-05
HasLotFrontage,0.0001584898
HasBsmt,0.047494315
HasPool,1.7492293e-06
HasGarage,0.00013615329
MSZoning_C (all),4.521499e-06
MSZoning_FV,3.8292014e-06
MSZoning_I (all),4.3264267e-06
MSZoning_RH,4.510261e-06
MSZoning_RL,0.08039429
MSZoning_RM,0.0003441722
Street_Grvl,2.532604e-06
Street_Pave,0.10556409
Alley_Grvl,1.1169004e-06
Alley_NotApplicable,0.000114218456
Alley_Pave,0.025605215
LotShape_IR1,0.02646211
LotShape_IR2,3.7843406e-06
LotShape_IR3,3.338591e-06
LotShape_Reg,2.5669018e-05
LandContour_Bnk,7.7909954e-07
LandContour_HLS,0.021497427
LandContour_Low,6.811215e-05
LandContour_Lvl,0.006016415
Utilities_AllPub,0.00020479315
Utilities_NoSeWa,2.0330363e-06
Utilities_NoSewr,1.2908731e-06
LotConfig_Corner,2.1754302e-05
LotConfig_CulDSac,5.91428e-05
LotConfig_FR2,0.010332695
LotConfig_FR3,2.2881645e-06
LotConfig_Inside,0.029456304
LandSlope_Gtl,0.00025512394
LandSlope_Mod,0.03735116
LandSlope_Sev,9.874766e-07
Neighborhood_Blmngtn,3.1077207e-07
Neighborhood_Blueste,2.0312805e-06
Neighborhood_BrDale,3.2441974e-06
Neighborhood_BrkSide,4.4096942e-07
Neighborhood_ClearCr,7.908406e-05
Neighborhood_CollgCr,1.1811828e-05
Neighborhood_Crawfor,0.10580533
Neighborhood_Edwards,0.057578225
Neighborhood_Gilbert,0.04374165
Neighborhood_Greens,4.6842206e-06
Neighborhood_GrnHill,4.386387e-06
Neighborhood_IDOTRR,6.0695536e-05
Neighborhood_Landmrk,0.0021996014
Neighborhood_MeadowV,7.002902e-05
Neighborhood_Mitchel,1.6990223e-05
Neighborhood_NAmes,8.689474e-06
Neighborhood_NPkVill,4.532261e-06
Neighborhood_NWAmes,0.0061452044
Neighborhood_NoRidge,0.07318912
Neighborhood_NridgHt,0.04690132
Neighborhood_OldTown,0.011165361
Neighborhood_SWISU,2.177825e-06
Neighborhood_Sawyer,0.00016317476
Neighborhood_SawyerW,0.010274419
Neighborhood_Somerst,0.09117368
Neighborhood_StoneBr,0.033568338
Neighborhood_Timber,1.6203567e-06
Neighborhood_Veenker,0.00016624121
Condition1_Artery,0.0057126493
Condition1_Feedr,0.015265177
Condition1_Norm,0.060357444
Condition1_PosA,3.958101e-06
Condition1_PosN,9.846115e-05
Condition1_RRAe,9.292724e-06
Condition1_RRAn,8.260436e-05
Condition1_RRNe,0.015376815
Condition1_RRNn,3.44794e-07
Condition2_Artery,0.026768764
Condition2_Feedr,3.2437106e-06
Condition2_Norm,0.02772513
Condition2_PosA,5.427037e-07
Condition2_PosN,4.6945092e-06
Condition2_RRAe,2.855198e-06
Condition2_RRAn,2.889746e-06
Condition2_RRNn,4.098177e-06
BldgType_1Fam,0.07557461
BldgType_2fmCon,6.877067e-07
BldgType_Duplex,0.022371981
BldgType_Twnhs,1.4615578e-05
BldgType_TwnhsE,0.020151123
HouseStyle_1.5Fin,0.025175724
HouseStyle_1.5Unf,1.5300333e-05
HouseStyle_1Story,0.01227725
HouseStyle_2.5Fin,3.832752e-06
HouseStyle_2.5Unf,4.912256e-05
HouseStyle_2Story,0.02536952
HouseStyle_SFoyer,2.0512047e-05
HouseStyle_SLvl,0.019125737
RoofStyle_Flat,1.2197441e-05
RoofStyle_Gable,0.025399812
RoofStyle_Gambrel,7.151748e-07
RoofStyle_Hip,0.0060730483
RoofStyle_Mansard,1.9332241e-05
RoofStyle_Shed,2.3072535e-05
RoofMatl_CompShg,0.000114646195
RoofMatl_Metal,4.6695927e-06
RoofMatl_Roll,4.4870553e-06
RoofMatl_Tar&Grv,4.862209e-05
RoofMatl_WdShake,3.4460965e-05
RoofMatl_WdShngl,0.012388703
Exterior1st_AsbShng,0.0013927117
Exterior1st_AsphShn,6.7193787e-07
Exterior1st_BrkComm,1.0713293e-06
Exterior1st_BrkFace,0.086492725
Exterior1st_CBlock,1.4928723e-06
Exterior1st_CemntBd,5.9508537e-05
Exterior1st_HdBoard,0.000161828
Exterior1st_ImStucc,1.0296108e-06
Exterior1st_MetalSd,0.016341083
Exterior1st_Plywood,2.1738793e-05
Exterior1st_PreCast,4.93409e-06
Exterior1st_Stone,9.565638e-07
Exterior1st_Stucco,9.657879e-07
Exterior1st_VinylSd,0.0003507269
